player_id,name
understat_10006,Irakli Manelov
understat_10007,Sergey Volkov
understat_10010,Jesús Owono
understat_10012,Jakub Kiwior
understat_10020,Danil Denisov
understat_10023,David Strelec
understat_10029,Alberth Elis
understat_10034,Pablo Galdames
understat_10035,Vyacheslav Yakimov
understat_10039,Nicola Bagnolini
understat_10045,Stepan Melnikov
understat_10047,Kirill Shchetinin
understat_10073,Adam Obert
understat_10076,Filippo Missori
understat_10088,Niklas Pyyhtia
understat_10089,Fanil Sungatulin
understat_10095,Abdessamad Ezzalzouli
understat_10100,Kamory Doumbia
understat_10113,Fisnik Asllani
understat_10116,Vladislav Shitov
understat_10119,Owen Beck
understat_10120,Conor Bradley
understat_10139,Mattia Zanotti
understat_10145,Dikeni-Rafid Salifou
understat_10152,Bogdan Reichman
understat_10153,Ruslan Apekov
understat_10157,Mathias Olesen
understat_10166,Kasey McAteer
understat_10169,Diego Coppola
understat_10177,Evan Ferguson
understat_1018,Josh Cullen
understat_10188,Peter
understat_10193,Frank Magri
understat_10195,Ibrahim Diakité
understat_10205,Myles Peart-Harris
understat_10221,Tomás Mendes
understat_10233,Justin Kumi
understat_10238,Lapo Francesco Maria Nava
understat_10243,Jacques Ekomie
understat_10258,Dogan Alemdar
understat_10265,Nicolò Cocetta
understat_10268,Giorgio Cittadini
understat_10291,Vitalii Mykolenko
understat_10303,Jacopo Fazzini
understat_10318,Kelvin Yeboah
understat_10328,Edon Zhegrova
understat_10336,Tommaso De Nipoti
understat_10343,Antonio Iervolino
understat_10346,Bonke Innocent
understat_10349,Mika Biereth
understat_10365,Morten Frendrup
understat_10366,Albert Gudmundsson
understat_10373,Falaye Sacko
understat_10375,Enzo Tchato Mbiayi
understat_10376,Marko Lazetic
understat_10380,Zito
understat_10389,Fali Candé
understat_10393,Emil Ceïde
understat_10394,Jonas Wind
understat_10400,Myrto Uzuni
understat_10401,Njegos Petrovic
understat_10410,Tjark Ernst
understat_10413,Giovanni Bonfanti
understat_10425,Daniele Montevago
understat_10433,Cesare Casadei
understat_10437,Zakhar Volkov
understat_10439,Didier Lamkel Zé
understat_10440,Nemanja Glavcic
understat_10441,Artem Yuran
understat_10444,Viktor Aleksandrov
understat_10447,Aleksandr Yushin
understat_10448,Egor Mosin
understat_10449,Vanja Drkusic
understat_10450,Artem Makarchuk
understat_10456,Leon Klassen
understat_10457,Ilya Svinov
understat_10469,Nuraly Alip
understat_10470,Marat Apshatsev
understat_10471,Egor Teslenko
understat_10476,Aleksandr Kovalenko
understat_10478,Mark Mampassi
understat_10480,Butta Magomedov
understat_10485,Guemissongui Ouattara
understat_10492,Dmitry Pivovarov
understat_10494,Pablo Barrios Rivas
understat_10500,Nathan Gassama
understat_10504,Oleg Isaenko
understat_10508,Eniss Shabani
understat_10510,Artem Karpukas
understat_10515,Simon Ramet
understat_10516,Vladislav Samko
understat_10520,Aleksandr Selyava
understat_10527,Carlos Baleba
understat_10530,Olakunle Olusegun
understat_10531,Jonathan Okoronkwo
understat_10533,Egor Ushakov
understat_10542,Jamie Bynoe-Gittens
understat_10545,Julian Jeanvier
understat_10561,Jesús Santiago
understat_10572,Nikolay Tolstopyatov
understat_10574,David Kokoev
understat_10583,Mikhail Sukhoruchenko
understat_10584,Ilya Bykovskii
understat_10596,Simone Pafundi
understat_10605,Artem Ntumba
understat_10611,Ilya Vakhanla
understat_10615,Duccio Degli Innocenti
understat_10620,Luca Koleosho
understat_10627,Irakli Chezhiya
understat_10629,Nikita Ermakov
understat_10630,Aleksey Kashtanov
understat_10631,Luka Tsulukidze
understat_10632,Kirill Pechenin
understat_10635,Aleksandr Ektov
understat_10636,Vladimir Sychevoy
understat_10638,Nikolay Sysuev
understat_10640,Vladimir Khubulov
understat_10641,Ivan Oleynikov
understat_10642,Rizvan Tashaev
understat_10643,Vitalii Botnar
understat_10644,Aleksey Shumskikh
understat_10645,Artem Samsonov
understat_10646,Ivan Enin
understat_10647,Artem Simonyan
understat_10648,Ravil Netfullin
understat_10649,Hojimat Erkinov
understat_10650,Denis Laptev
understat_10651,Aleksandr Orekhov
understat_10652,Dzambolat Tsallagov
understat_10654,Kirill Ushatov
understat_10655,Daniil Martovoy
understat_10656,Artyom Meshchaninov
understat_10658,Marko Rakonjac
understat_10660,Mamadou Maiga
understat_10661,David Kobesov
understat_10666,Vasili Cherov
understat_10667,Aslan Dashaev
understat_10668,Ruslan Magal
understat_10669,Irakli Kvekveskiri
understat_10670,Oleg Dmitriev
understat_10671,Maksim Maksimov
understat_10672,Andrey Mendel
understat_10673,Vladislav Masternoy
understat_10674,Georgi Gongadze
understat_10675,Mikhail Smirnov
understat_10676,Matvey Ivakhnov
understat_10677,Daniil Chernyakov
understat_10678,Evgeni Morozov
understat_10679,Matvey Lukin
understat_10680,Batraz Gurtsiev
understat_10681,Jimmy Marín
understat_10684,Mihajlo Banjac
understat_10685,Rustam Khalnazarov
understat_10686,Dmitri Kratkov
understat_10688,Yaroslav Mikhaylov
understat_10690,Egor Pogostnov
understat_10691,Timofey Shipunov
understat_10692,Sasa Zdjelar
understat_10704,Cédric Avinel
understat_10708,Qazim Laçi
understat_10709,Bevic Moussiti-Oko
understat_10710,Mathieu Coutadeur
understat_10713,Mohamed Youssouf
understat_10716,Manor Solomon
understat_10719,Luke Harris
understat_10728,Oscar Fraulo
understat_10729,Yvandro Borges Sanches
